Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,54.560001,54.759998,52.560001,53.099998,51.946392,164200
2022-05-03,54.529999,55.130001,53.869999,54.040001,52.865971,199300
2022-05-04,54.310001,57.060001,54.189999,56.610001,55.380138,188500
2022-05-05,56.000000,56.049999,54.779999,54.990002,53.795334,141500
2022-05-06,54.880001,55.099998,53.689999,54.180000,53.002930,190400
2022-05-09,53.400002,54.410000,53.130001,53.970001,52.797493,84800
2022-05-10,54.139999,54.500000,53.360001,53.730000,52.562706,144700
2022-05-11,53.619999,54.419998,53.439999,53.580002,52.415966,104200
2022-05-12,53.549999,54.779999,53.369999,54.680000,53.492069,117800
2022-05-13,55.209999,55.540001,54.840000,55.520000,54.313820,80500
2022-05-16,55.650002,56.230000,55.490002,55.939999,54.724693,104000
2022-05-17,56.349998,56.950001,55.849998,56.490002,55.262745,90100
2022-05-18,56.130001,56.130001,54.000000,54.049999,52.875751,101100
2022-05-19,53.900002,55.549999,53.900002,55.189999,53.990986,190500
2022-05-20,55.180000,56.849998,55.150002,56.669998,55.438831,186900
2022-05-23,56.970001,57.610001,56.540001,57.310001,56.064930,124900
2022-05-24,56.830002,57.580002,56.590000,57.090000,55.849709,113400
2022-05-25,57.139999,57.680000,56.959999,57.459999,56.211670,119900
2022-05-26,57.759998,58.099998,57.310001,57.939999,56.681240,91500
2022-05-27,58.320000,59.509998,58.020000,59.509998,58.217133,106500
2022-05-31,59.950001,60.290001,58.110001,59.650002,58.354095,364300
2022-06-01,59.259998,59.259998,57.689999,58.900002,57.620388,216600
2022-06-02,58.869999,58.869999,57.340000,57.770000,56.514938,254000
2022-06-03,57.889999,57.970001,56.970001,57.599998,56.348629,190500
2022-06-06,58.049999,58.200001,56.549999,56.840000,55.605141,185900
2022-06-07,57.029999,57.889999,55.950001,57.889999,56.632328,117200
2022-06-08,57.720001,58.029999,56.590000,56.990002,55.751884,107400
2022-06-09,56.759998,56.930000,56.009998,56.009998,54.793171,96100
2022-06-10,55.450001,56.200001,55.040001,55.950001,54.734478,88200
2022-06-13,55.160000,55.570000,54.599998,55.540001,54.333385,199200
2022-06-14,55.680000,56.650002,55.340000,56.049999,54.832302,172400
2022-06-15,56.360001,56.360001,55.110001,55.799999,54.587734,181200
2022-06-16,54.759998,55.860001,54.029999,55.720001,54.509476,136600
2022-06-17,56.250000,56.900002,55.070000,55.320000,54.118164,360400
2022-06-21,55.980000,57.250000,55.259998,57.080002,55.839928,138100
2022-06-22,56.470001,57.189999,56.340000,56.759998,55.526878,247000
2022-06-23,56.779999,57.500000,56.660000,56.680000,55.448616,187900
2022-06-24,57.160000,58.430000,56.759998,58.000000,56.739941,297900
2022-06-27,58.290001,59.509998,57.509998,59.150002,57.864956,191200
2022-06-28,59.180000,59.709999,56.430000,56.680000,55.448616,287500
2022-06-29,56.720001,57.009998,55.830002,55.930000,54.714912,266200
2022-06-30,55.230000,56.230000,54.639999,55.279999,54.079029,357400
2022-07-01,55.020000,56.660000,54.980000,56.380001,55.155136,112300
2022-07-05,56.230000,56.279999,54.840000,56.200001,54.979046,190400
2022-07-06,56.209999,56.209999,55.080002,55.709999,54.499691,109100
2022-07-07,56.060001,56.480000,55.250000,55.689999,54.480122,227100
2022-07-08,55.610001,55.759998,54.520000,54.919998,53.726852,157400
2022-07-11,54.869999,54.869999,53.630001,54.340000,53.159454,191500
2022-07-12,54.180000,54.520000,53.669998,53.959999,52.787708,160900
2022-07-13,53.599998,54.250000,53.200001,53.840000,52.670315,129000
2022-07-14,53.060001,53.500000,51.959999,52.720001,51.574650,136700
2022-07-15,53.389999,55.150002,52.840000,55.049999,53.854027,203700
2022-07-18,55.209999,55.820000,54.750000,55.209999,54.010551,133700
2022-07-19,55.630001,55.990002,55.320000,55.889999,54.675777,147000
2022-07-20,56.080002,56.160000,54.139999,54.360001,53.179020,138100
2022-07-21,54.070000,54.430000,53.630001,54.240002,53.061626,109400
2022-07-22,54.439999,54.630001,54.040001,54.490002,53.306198,76100
2022-07-25,54.490002,56.360001,54.490002,56.150002,54.930134,210200
2022-07-26,56.590000,58.660000,56.430000,57.889999,56.632328,223100
2022-07-27,58.740002,60.950001,57.389999,60.869999,59.547588,232600
2022-07-28,60.500000,61.200001,60.020000,60.560001,59.244324,185800
2022-07-29,60.520000,60.570000,59.320000,60.230000,58.921494,410300
2022-08-01,60.299999,61.400002,60.080002,60.730000,59.410629,152100
2022-08-02,60.930000,61.340000,59.090000,59.250000,57.962784,192800
2022-08-03,59.400002,60.020000,59.169998,59.770000,58.471485,212600
2022-08-04,59.439999,60.169998,59.080002,59.709999,58.412788,119800
2022-08-05,59.599998,60.560001,59.160000,59.770000,58.471485,143000
